Model=CNNV3checkpoint, Epoch 11/50: BatchSize=32, Loss=0,003966, MSE=0,020258, RMSE=0,142332, R²=0,913337
Model=CNNV3checkpoint, Epoch 12/50: BatchSize=32, Loss=0,010257, MSE=0,017125, RMSE=0,130864, R²=0,926739
Model=CNNV3checkpoint, Epoch 13/50: BatchSize=32, Loss=0,022781, MSE=0,019204, RMSE=0,138578, R²=0,917848
Model=CNNV3checkpoint, Epoch 14/50: BatchSize=32, Loss=0,007965, MSE=0,021320, RMSE=0,146012, R²=0,908797
Model=CNNV3checkpoint, Epoch 15/50: BatchSize=32, Loss=0,004495, MSE=0,015485, RMSE=0,124441, R²=0,933755
Model=CNNV3checkpoint, Epoch 16/50: BatchSize=32, Loss=0,006028, MSE=0,011132, RMSE=0,105510, R²=0,952377
Model=CNNV3checkpoint, Epoch 17/50: BatchSize=32, Loss=0,003877, MSE=0,011819, RMSE=0,108715, R²=0,949440
Model=CNNV3checkpoint, Epoch 18/50: BatchSize=32, Loss=0,004034, MSE=0,011545, RMSE=0,107446, R²=0,950613
Model=CNNV3checkpoint, Epoch 19/50: BatchSize=32, Loss=0,014709, MSE=0,017761, RMSE=0,133270, R²=0,924021
Model=CNNV3checkpoint, Epoch 20/50: BatchSize=32, Loss=0,004784, MSE=0,027095, RMSE=0,164605, R²=0,884092
Model=CNNV3checkpoint, Epoch 21/50: BatchSize=32, Loss=0,007906, MSE=0,019757, RMSE=0,140560, R²=0,915481
Model=CNNV3checkpoint, Epoch 22/50: BatchSize=32, Loss=0,009199, MSE=0,014355, RMSE=0,119814, R²=0,938589
Model=CNNV3checkpoint, Epoch 23/50: BatchSize=32, Loss=0,014050, MSE=0,024040, RMSE=0,155050, R²=0,897158
Model=CNNV3checkpoint, Epoch 24/50: BatchSize=32, Loss=0,009019, MSE=0,040193, RMSE=0,200483, R²=0,828057
Model=CNNV3checkpoint, Epoch 25/50: BatchSize=32, Loss=0,004996, MSE=0,039433, RMSE=0,198577, R²=0,831311
Model=CNNV3checkpoint, Epoch 26/50: BatchSize=32, Loss=0,007510, MSE=0,018465, RMSE=0,135884, R²=0,921011
Model=CNNV3checkpoint, Epoch 27/50: BatchSize=32, Loss=0,010562, MSE=0,009262, RMSE=0,096238, R²=0,960380
Model=CNNV3checkpoint, Epoch 28/50: BatchSize=32, Loss=0,005191, MSE=0,008117, RMSE=0,090096, R²=0,965275
Model=CNNV3checkpoint, Epoch 29/50: BatchSize=32, Loss=0,005034, MSE=0,008386, RMSE=0,091574, R²=0,964127
Model=CNNV3checkpoint, Epoch 30/50: BatchSize=32, Loss=0,005346, MSE=0,007735, RMSE=0,087950, R²=0,966910
Model=CNNV3checkpoint, Epoch 31/50: BatchSize=32, Loss=0,002753, MSE=0,008192, RMSE=0,090508, R²=0,964957
