Model=MLP3dropout, Epoch 18/25: BatchSize=32, Loss=0,102168, MSE=0,155585, RMSE=0,394442, R²=0,344339
Model=MLP3dropout, Epoch 19/25: BatchSize=32, Loss=0,098897, MSE=0,154230, RMSE=0,392722, R²=0,350047
Model=MLP3dropout, Epoch 20/25: BatchSize=32, Loss=0,098094, MSE=0,154090, RMSE=0,392543, R²=0,350637
Model=MLP3dropout, Epoch 21/25: BatchSize=32, Loss=0,098621, MSE=0,153713, RMSE=0,392062, R²=0,352227
Model=MLP3dropout, Epoch 22/25: BatchSize=32, Loss=0,102362, MSE=0,154452, RMSE=0,393004, R²=0,349113
Model=MLP3dropout, Epoch 23/25: BatchSize=32, Loss=0,097773, MSE=0,152332, RMSE=0,390297, R²=0,358046
Model=MLP3dropout, Epoch 24/25: BatchSize=32, Loss=0,097972, MSE=0,150987, RMSE=0,388570, R²=0,363716
Model=MLP3dropout, Epoch 25/25: BatchSize=32, Loss=0,096182, MSE=0,152179, RMSE=0,390101, R²=0,358693
Model=MLP4batchup, Epoch 1/15: BatchSize=64, Loss=0,204835, MSE=0,200802, RMSE=0,448109, R²=0,154234 (754, 33, 213)
Model=MLP4batchup, Epoch 2/15: BatchSize=64, Loss=0,193854, MSE=0,197120, RMSE=0,443982, R²=0,169740
Model=MLP4batchup, Epoch 3/15: BatchSize=64, Loss=0,184005, MSE=0,193624, RMSE=0,440027, R²=0,184467
Model=MLP4batchup, Epoch 4/15: BatchSize=64, Loss=0,170273, MSE=0,189005, RMSE=0,434747, R²=0,203919
Model=MLP4batchup, Epoch 5/15: BatchSize=64, Loss=0,155540, MSE=0,190775, RMSE=0,436778, R²=0,196467
Model=MLP4batchup, Epoch 6/15: BatchSize=64, Loss=0,140087, MSE=0,186873, RMSE=0,432288, R²=0,212900
Model=MLP4batchup, Epoch 7/15: BatchSize=64, Loss=0,127179, MSE=0,182938, RMSE=0,427712, R²=0,229476
Model=MLP4batchup, Epoch 8/15: BatchSize=64, Loss=0,116085, MSE=0,179390, RMSE=0,423544, R²=0,244419
Model=MLP4batchup, Epoch 9/15: BatchSize=64, Loss=0,106441, MSE=0,176952, RMSE=0,420656, R²=0,254689
Model=MLP4batchup, Epoch 10/15: BatchSize=64, Loss=0,099111, MSE=0,175350, RMSE=0,418748, R²=0,261434
Model=MLP4batchup, Epoch 11/15: BatchSize=64, Loss=0,091812, MSE=0,173324, RMSE=0,416322, R²=0,269967
Model=MLP4batchup, Epoch 12/15: BatchSize=64, Loss=0,085359, MSE=0,172338, RMSE=0,415136, R²=0,274123
Model=MLP4batchup, Epoch 13/15: BatchSize=64, Loss=0,080224, MSE=0,171396, RMSE=0,414000, R²=0,278089
Model=MLP4batchup, Epoch 14/15: BatchSize=64, Loss=0,075458, MSE=0,170433, RMSE=0,412835, R²=0,282145
Model=MLP4batchup, Epoch 15/15: BatchSize=64, Loss=0,071230, MSE=0,169168, RMSE=0,411301, R²=0,287472
Model=MLP5adjust, Epoch 1/25: BatchSize=70, Loss=0,196110, MSE=0,200593, RMSE=0,447876, R²=0,155684 (727, 43, 230)
Model=MLP5adjust, Epoch 2/25: BatchSize=70, Loss=0,187397, MSE=0,197061, RMSE=0,443915, R²=0,170551
Model=MLP5adjust, Epoch 3/25: BatchSize=70, Loss=0,177469, MSE=0,193470, RMSE=0,439853, R²=0,185663
Model=MLP5adjust, Epoch 4/25: BatchSize=70, Loss=0,166894, MSE=0,189463, RMSE=0,435274, R²=0,202529
Model=MLP5adjust, Epoch 5/25: BatchSize=70, Loss=0,155239, MSE=0,185482, RMSE=0,430676, R²=0,219287
Model=MLP5adjust, Epoch 6/25: BatchSize=70, Loss=0,142731, MSE=0,181750, RMSE=0,426322, R²=0,234994
Model=MLP5adjust, Epoch 7/25: BatchSize=70, Loss=0,130205, MSE=0,178730, RMSE=0,422765, R²=0,247706
Model=MLP5adjust, Epoch 8/25: BatchSize=70, Loss=0,119726, MSE=0,175873, RMSE=0,419373, R²=0,259731
Model=MLP5adjust, Epoch 9/25: BatchSize=70, Loss=0,109881, MSE=0,174028, RMSE=0,417166, R²=0,267499
Model=MLP5adjust, Epoch 10/25: BatchSize=70, Loss=0,102020, MSE=0,172323, RMSE=0,415118, R²=0,274674
Model=MLP5adjust, Epoch 11/25: BatchSize=70, Loss=0,095491, MSE=0,170737, RMSE=0,413204, R²=0,281349
Model=MLP5adjust, Epoch 12/25: BatchSize=70, Loss=0,089024, MSE=0,169465, RMSE=0,411662, R²=0,286703
Model=MLP5adjust, Epoch 13/25: BatchSize=70, Loss=0,083159, MSE=0,168328, RMSE=0,410278, R²=0,291489
Model=MLP5adjust, Epoch 14/25: BatchSize=70, Loss=0,078191, MSE=0,167461, RMSE=0,409220, R²=0,295141
Model=MLP5adjust, Epoch 15/25: BatchSize=70, Loss=0,074068, MSE=0,166621, RMSE=0,408193, R²=0,298675
Model=MLP5adjust, Epoch 16/25: BatchSize=70, Loss=0,070094, MSE=0,165735, RMSE=0,407105, R²=0,302407
Model=MLP5adjust, Epoch 17/25: BatchSize=70, Loss=0,066640, MSE=0,164863, RMSE=0,406033, R²=0,306077
Model=MLP5adjust, Epoch 18/25: BatchSize=70, Loss=0,063574, MSE=0,165745, RMSE=0,407118, R²=0,302361
Model=MLP5adjust, Epoch 19/25: BatchSize=70, Loss=0,063236, MSE=0,166537, RMSE=0,408089, R²=0,299029
Model=MLP5adjust, Epoch 20/25: BatchSize=70, Loss=0,061276, MSE=0,162815, RMSE=0,403503, R²=0,314695
Model=MLP5adjust, Epoch 21/25: BatchSize=70, Loss=0,060950, MSE=0,161578, RMSE=0,401968, R²=0,319900
Model=MLP5adjust, Epoch 22/25: BatchSize=70, Loss=0,056892, MSE=0,161518, RMSE=0,401892, R²=0,320156
Model=MLP5adjust, Epoch 23/25: BatchSize=70, Loss=0,054561, MSE=0,161335, RMSE=0,401665, R²=0,320925
Model=MLP5adjust, Epoch 24/25: BatchSize=70, Loss=0,052547, MSE=0,161094, RMSE=0,401365, R²=0,321939
Model=MLP5adjust, Epoch 25/25: BatchSize=70, Loss=0,050845, MSE=0,160865, RMSE=0,401080, R²=0,322904
